# Clock	Points
746	2630
747	2639
748	2648
749	2657
750	2666
751	2675
752	2684
753	2693
754	2702
755	2711
756	2720
757	2729
758	2738
759	2747
760	2756
761	2765
762	2774
763	2783
764	2792
765	2801
766	2810
767	2819
768	2828
769	2837
770	2846
771	2855
772	2864
773	2873
774	2883
775	2893
776	2903
777	2913
778	2923
779	2933
780	2943
781	2953
782	2963
783	2973
784	2983
785	2993
786	3003
787	3013
788	3023
789	3033
790	3043
791	3053
792	3063
793	3073
794	3083
795	3093
796	3103
797	3113
798	3123
799	3133
800	3143
801	3153
802	3164
803	3175
804	3186
805	3197
806	3208
807	3219
808	3230
809	3241
810	3252
811	3263
812	3274
813	3285
814	3296
815	3307
816	3318
817	3329
818	3340
819	3351
820	3362
821	3373
822	3384
823	3395
824	3406
825	3417
826	3428
827	3439
828	3450
829	3461
830	3472
831	3483
832	3494
833	3505
834	3516
835	3527
836	3538
837	3549
838	3560
839	3571
840	3582
841	3593
842	3604
843	3615
844	3626
845	3637
846	3648
847	3659
848	3670
849	3681
850	3692
851	3703
852	3714
853	3725
854	3736
855	3747
856	3758
857	3769
858	3780
859	3791
860	3802
861	3813
862	3824
863	3835
864	3846
865	3857
866	3868
867	3879
868	3890
869	3901
870	3912
871	3923
872	3934
873	3945
874	3956
875	3967
876	3978
877	3989
878	4000
879	4011
880	4022
881	4033
882	4044
883	4055
884	4066
885	4077
886	4088
887	4099
888	4110
889	4121
890	4132
891	4143
892	4154
893	4165
894	4176
895	4187
896	4198
897	4209
898	4220
899	4231
900	4242
901	4253
902	4264
903	4275
904	4286
905	4297
906	4308
907	4319
908	4330
909	4341
910	4352
911	4363
912	4374
913	4385
914	4396
915	4408
916	4420
917	4432
918	4444
919	4456
920	4468
921	4480
922	4492
923	4504
924	4516
925	4528
926	4540
927	4552
928	4564
929	4576
930	4588
931	4600
932	4612
933	4624
934	4636
935	4648
936	4660
937	4672
938	4684
939	4696
940	4708
941	4720
942	4732
943	4744
944	4756
945	4768
946	4780
947	4792
948	4804
949	4816
950	4828
951	4840
952	4852
953	4864
954	4876
955	4888
956	4900
957	4912
958	4924
959	4936
960	4948
961	4960
962	4972
963	4984
964	4996
965	5008
966	5020
967	5032
968	5044
969	5056
970	5068
971	5080
972	5092
973	5104
974	5116
975	5128
976	5140
977	5152
978	5164
979	5176
980	5188
981	5200
982	5212
983	5224
984	5236
985	5248
986	5260
987	5272
988	5284
989	5296
990	5308
991	5320
992	5332
993	5344
994	5356
995	5368
996	5380
997	5392
998	5404
999	5416
1000	5428
1001	5440
1002	5452
1003	5464
1004	5476
1005	5488
1006	5500
1007	5512
1008	5524
1009	5536
1010	5548
1011	5560
1012	5572
1013	5584
1014	5596
1015	5608
1016	5620
1017	5632
1018	5644
1019	5656
1020	5668
1021	5680
1022	5692
1023	5704
1024	5716
1025	5728
1026	5740
1027	5752
1028	5764
1029	5776
1030	5788
1031	5800
1032	5812
1033	5824
1034	5836
1035	5848
1036	5860
1037	5872
1038	5884
1039	5896
1040	5908
1041	5920
1042	5932
1043	5944
1044	5956
1045	5968
1046	5980
1047	5992
1048	6004
1049	6016
1050	6028
1051	6040
1052	6052
1053	6064
1054	6076
1055	6088
1056	6100
1057	6112
1058	6124
1059	6136
1060	6148
1061	6160
1062	6172
1063	6184
1064	6196
1065	6208
1066	6220
1067	6232
1068	6244
1069	6256
1070	6268
1071	6280
1072	6292
1073	6304
1074	6316
1075	6328
1076	6340
1077	6352
1078	6364
1079	6376
1080	6388
1081	6400
1082	6412
1083	6424
1084	6436
1085	6448
1086	6460
1087	6472
1088	6484
1089	6496
1090	6508
1091	6520
1092	6532
1093	6544
1094	6556
1095	6568
